game_id,game_name,year_month,listing_type,listing_type_label,observations,sell_rows,buy_rows,trade_rows,unknown_rows,quantity_total,price_candidate_rows,strict_price_rows,missing_price_rows,unique_cards,unique_sellers,first_posted_at,last_posted_at,median_price_krw
digimontcg,디지몬 카드게임,,,,22398,11804,2719,161,7714,33574,10812,28,5810,2557,2501,2026-07-04T21:23:06+09:00,2026-08-13T17:07:12+09:00,1000
onepiececardgame,원피스 카드게임,,,,18278,11766,2977,0,3535,32221,8788,5,3667,2700,2125,2026-07-12T09:33:29+09:00,2026-08-13T17:02:38+09:00,3000
pokemoncardgame,포켓몬 카드게임,,,,25413,12558,2445,34,10376,114375,5829,192,8358,3705,1502,2026-03-31T10:11:45+09:00,2026-08-13T17:09:45+09:00,1000
tcggame,유희왕,,,,66854,53337,4415,45,9057,184442,31257,17,14498,7698,4760,2026-07-07T10:48:36+09:00,2026-08-13T17:02:58+09:00,700
vg,뱅가드,,,,29314,17887,1693,38,9696,45569,13396,16,6593,3118,2377,2026-06-10T00:08:51+09:00,2026-08-13T17:09:29+09:00,2500
