game_id,game_name,year_month,listing_type,listing_type_label,observations,sell_rows,buy_rows,trade_rows,unknown_rows,quantity_total,price_candidate_rows,strict_price_rows,missing_price_rows,unique_cards,unique_sellers,first_posted_at,last_posted_at,median_price_krw
,,,buy,구매,14249,0,14249,0,0,20310,8356,59,2042,3375,3135,2026-03-31T19:48:15+09:00,2026-08-13T16:58:03+09:00,2500
,,,sell,판매,107352,107352,0,0,0,129651,50408,578,170,12752,7454,2026-03-31T11:35:49+09:00,2026-08-13T17:09:45+09:00,2000
,,,trade,교환,278,0,0,278,0,294,60,0,0,35,19,2026-04-12T22:43:08+09:00,2026-08-11T20:52:07+09:00,
,,,unknown,미분류,40378,0,0,0,40378,64438,19104,0,24,6934,3147,2026-03-31T10:11:45+09:00,2026-08-13T17:07:12+09:00,
