game_id,game_name,year_month,listing_type,listing_type_label,observations,sell_rows,buy_rows,trade_rows,unknown_rows,quantity_total,price_candidate_rows,strict_price_rows,missing_price_rows,unique_cards,unique_sellers,first_posted_at,last_posted_at,median_price_krw
,,2026-03,,,19,3,1,0,15,33,6,0,1,17,5,2026-03-31T10:11:45+09:00,2026-03-31T23:56:52+09:00,
,,2026-04,,,2200,695,295,8,1202,2860,1105,11,33,1088,191,2026-04-01T03:39:56+09:00,2026-04-30T21:04:57+09:00,4000
,,2026-05,,,2555,968,494,18,1075,2987,1424,12,87,931,318,2026-05-01T00:28:20+09:00,2026-05-31T23:55:04+09:00,650
,,2026-06,,,14699,5730,994,38,7937,32282,5885,9,155,2672,827,2026-06-01T02:21:32+09:00,2026-06-30T23:58:59+09:00,600
,,2026-07,,,64846,44273,5969,85,14519,80527,31647,223,979,11579,6237,2026-07-01T00:07:26+09:00,2026-07-31T23:59:01+09:00,2000
,,2026-08,,,77895,55683,6453,129,15630,95961,37818,382,981,7135,6176,2026-08-01T00:00:43+09:00,2026-08-13T17:09:45+09:00,2000
,,unknown-date,,,43,0,43,0,0,43,43,0,0,24,3,,,
