gallery_id,post_title,post_url,posted_at,card_name,rarity,raw_price,price_krw,price_unit,quantity,shipping_included,author_name,author_type,shipping_price_krw,review_status,review_reason,raw_line,post_status,price_status,price_scope,price_origin,analysis_status,card_match_status,seller_id,seller_name,seller_risk_score,seller_risk_level,seller_review_status,is_repost
tcggame,고레어 몇장 팜,https://m.dcinside.com/board/tcggame/4320052,2026-08-23T23:55:07+09:00,증지,쿼싴,4.0,40000,만원 단위 추정,1,unknown,가치롭게,guest,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",증지 쿼싴4.0,active,estimated,per_card,text,needs_review,candidate,seller-a4e1f15dcf7a7e2267b46eda,가치롭게,15,low,unreviewed,0
tcggame,고레어 몇장 팜,https://m.dcinside.com/board/tcggame/4320052,2026-08-23T23:55:07+09:00,드롤 신일,프싴,2.0,20000,만원 단위 추정,1,unknown,가치롭게,guest,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",드롤 신일프싴2.0,active,estimated,per_card,text,needs_review,candidate,seller-a4e1f15dcf7a7e2267b46eda,가치롭게,15,low,unreviewed,0
tcggame,고레어 몇장 팜,https://m.dcinside.com/board/tcggame/4320052,2026-08-23T23:55:07+09:00,삼호+삼재,쿼싴,5.0,50000,만원 단위 추정,1,unknown,가치롭게,guest,,needs_review,"가격 단위 추정, 일괄·세트 가격, 복수 카드 가격, 배송비 포함 여부 미확정, 묶음·세트 총액 · 개별 카드 가격 아님",삼호+삼재 쿼싴 일괄 5.0,active,estimated,bundle,text,needs_review,candidate,seller-a4e1f15dcf7a7e2267b46eda,가치롭게,15,low,unreviewed,0
tcggame,고레어 몇장 팜,https://m.dcinside.com/board/tcggame/4320052,2026-08-23T23:55:07+09:00,리틀나이트,프싴,3.5,35000,만원 단위 추정,1,unknown,가치롭게,guest,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",리틀나이트 프싴3.5,active,estimated,per_card,text,needs_review,candidate,seller-a4e1f15dcf7a7e2267b46eda,가치롭게,15,low,unreviewed,0
tcggame,고레어 몇장 팜,https://m.dcinside.com/board/tcggame/4320052,2026-08-23T23:55:07+09:00,후와로스,프싴,10.5,105000,만원 단위 추정,1,unknown,가치롭게,guest,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",후와로스 프싴10.5,active,estimated,per_card,text,needs_review,candidate,seller-a4e1f15dcf7a7e2267b46eda,가치롭게,15,low,unreviewed,0
tcggame,고레어 몇장 팜,https://m.dcinside.com/board/tcggame/4320052,2026-08-23T23:55:07+09:00,프레임기어 (2델타+1감마+1드라이버 올 프싴),,7.5,75000,만원 단위 추정,1,unknown,가치롭게,guest,,needs_review,"가격 단위 추정, 일괄·세트 가격, 복수 카드 가격, 배송비 포함 여부 미확정, 묶음·세트 총액 · 개별 카드 가격 아님",프레임기어 세트(2델타+1감마+1드라이버 올 프싴)7.5,active,estimated,bundle,text,needs_review,candidate,seller-a4e1f15dcf7a7e2267b46eda,가치롭게,15,low,unreviewed,0
tcggame,고레어 몇장 팜,https://m.dcinside.com/board/tcggame/4320052,2026-08-23T23:55:07+09:00,와라시 신일,쿼싴,4.0,40000,만원 단위 추정,1,unknown,가치롭게,guest,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",와라시 신일쿼싴4.0,active,estimated,per_card,text,needs_review,candidate,seller-a4e1f15dcf7a7e2267b46eda,가치롭게,15,low,unreviewed,0
tcggame,고레어 몇장 팜,https://m.dcinside.com/board/tcggame/4320052,2026-08-23T23:55:07+09:00,우라라 신일,쿼싴,6.6,66000,만원 단위 추정,1,unknown,가치롭게,guest,,needs_review,"가격 단위 추정, 일괄·세트 가격, 배송비 포함 여부 미확정, 묶음·세트 총액 · 개별 카드 가격 아님",우라라 신일쿼싴 일괄6.6,active,estimated,bundle,text,needs_review,candidate,seller-a4e1f15dcf7a7e2267b46eda,가치롭게,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,둠즈 브레이크 디아크로스,시크,0.4,4000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",둠즈 브레이크 디아크로스 시크 0.4,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,위치크래프크 바이스트리트,,0.1,1000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",위치크래프크 바이스트리트 0.1,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,언체인드 소울 라기아,시크,0.1,1000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",언체인드 소울 라기아 시크 0.1,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,성관 장당,,0.7,7000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",성관 장당 0.7,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,덴지쿤 나 진짜 돈이 급해,https://m.dcinside.com/board/tcggame/4320024,2026-08-23T23:27:12+09:00,var safe = (window.dcAd && window.dcAd.safe ==,,1,10000,만원 단위 추정,1,unknown,냐7213,registered,,needs_review,"가격 단위 추정, 복수 카드 가격, 배송비 포함 여부 미확정, 묶음·세트 총액 · 개별 카드 가격 아님, 스크립트·광고 문구로 추정되는 오염 행",var safe = (window.dcAd && window.dcAd.safe == 1),active,estimated,bundle,text,excluded,candidate,seller-2f894e0b66454e58ff5fb78d,냐7213,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,아제우스,프싴,0.4,4000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",아제우스 프싴 0.4,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,덴지쿤 나 진짜 돈이 급해,https://m.dcinside.com/board/tcggame/4320024,2026-08-23T23:27:12+09:00,마그넷 소스에 임펄스 노말,,6.5,65000,만원 단위 추정,1,unknown,냐7213,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정, 묶음·세트 총액 · 개별 카드 가격 아님",마그넷 소스에 임펄스 노말 6.5,active,estimated,bundle,text,needs_review,candidate,seller-2f894e0b66454e58ff5fb78d,냐7213,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,필마 없는 툰제올 소스,,3.5,35000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 수량 표기 감지, 배송비 포함 여부 미확정, 묶음·세트 총액 · 개별 카드 가격 아님",필마 1장 없는 툰제올 소스 3.5,active,estimated,bundle,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,사크라멘툼 드라군,시크,0.4,4000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",사크라멘툼 드라군 시크 0.4,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,위치크래프트 피또레,,0.15,1500,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",위치크래프트 피또레 0.15,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,맬리스 필마,,1.0,10000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",맬리스 필마 1.0,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,데스 엠페러 병신,,0.1,1000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",데스 엠페러 병신 0.1,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,하얀용 장당,,0.6,6000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",하얀용 장당 0.6,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,초거대전함 메탈 슬레이브,,0.3,3000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",초거대전함 메탈 슬레이브 0.3,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,툰 테러,시크,0.1,1000,만원 단위 추정,1,unknown,흑마도의커튼,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",툰 테러 시크 0.1,active,estimated,per_card,text,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
tcggame,자기전에 쓰는 레볼부 버프로 등등 판맥글,https://m.dcinside.com/board/tcggame/4320041,2026-08-23T23:43:56+09:00,비의 프싴 준등포,,,,미기재,3,unknown,흑마도의커튼,registered,,needs_review,수량 표기 감지 · 가격 미기재,비의 프싴 준등포 3,active,missing,unknown,unknown,needs_review,candidate,seller-26c8655447e6756414d82ed9,흑마도의커튼,15,low,unreviewed,0
